"id","subject","topic","subtopic","description","created_at"
82,"History","Modern History","Early Nationalism","early phase of Indian nationalism","2026-01-05 21:03:29"
83,"History","Modern History","Gandhian Phase","Gandhian phase of national movement","2026-01-05 21:03:29"
84,"History","Modern History","Revolutionary Movements","revolutionary movements and INA","2026-01-05 21:03:29"
85,"History","Modern History","Constitutional Develop.","constitutional developments and British Acts","2026-01-05 21:03:29"
86,"History","Modern History","Communal Politics","communal politics and partition of India","2026-01-05 21:03:29"
87,"History","Modern History","Economic Impact","economic impact of colonial rule","2026-01-05 21:03:29"
88,"History","Modern History","Indians Abroad","role of overseas Indians in freedom struggle","2026-01-05 21:03:29"
89,"History","Modern History","Other Modern","other modern Indian history topics","2026-01-05 21:03:29"
90,"History","Post-Independence","Integration of States","integration of princely states after independence","2026-01-05 21:03:29"
91,"History","Post-Independence","Political Develop.","early political developments in independent India","2026-01-05 21:03:29"
92,"History","Post-Independence","States Reorganisation","reorganisation of states on linguistic and other bases","2026-01-05 21:03:29"
93,"History","Post-Independence","Social & Eco Policies","early social and economic policies in post-independence India","2026-01-05 21:03:29"
94,"History","Post-Independence","Other Post-Ind","other post-independence Indian history topics","2026-01-05 21:03:29"
95,"History","Art & Culture","Architecture Styles","Indian architectural styles across periods","2026-01-05 21:03:29"
96,"History","Art & Culture","Sculpture & Iconography","Indian sculpture and iconography","2026-01-05 21:03:29"
97,"History","Art & Culture","Paintings Schools","schools of Indian painting including Ajanta and Mughal","2026-01-05 21:03:29"
98,"History","Art & Culture","Music Forms","Indian classical and folk music forms","2026-01-05 21:03:29"
99,"History","Art & Culture","Dance Forms","classical and folk dance forms of India","2026-01-05 21:03:29"
100,"History","Art & Culture","Drama & Theatre","Indian drama and theatre traditions","2026-01-05 21:03:29"
101,"History","Art & Culture","Literature & Languages","Indian literature across languages and periods","2026-01-05 21:03:29"
102,"History","Art & Culture","Religion & Philosophy","religious and philosophical traditions of India","2026-01-05 21:03:29"
103,"History","Art & Culture","Fairs & Festivals","important fairs and festivals of India","2026-01-05 21:03:29"
104,"History","Art & Culture","UNESCO Sites","UNESCO cultural world heritage sites in India","2026-01-05 21:03:29"
105,"History","Art & Culture","Other Art & Culture","other Indian art and culture topics","2026-01-05 21:03:29"
106,"Geography","Physical Geography","Earth Structure","structure and composition of the Earth","2026-01-05 21:03:29"
107,"Geography","Physical Geography","Plate Tectonics","plate tectonics and continental drift","2026-01-05 21:03:29"
108,"Geography","Physical Geography","Geomorphic Processes","geomorphic processes like weathering and erosion","2026-01-05 21:03:29"
109,"Geography","Physical Geography","Landforms & Rivers","landforms produced by rivers and other agents","2026-01-05 21:03:29"
110,"Geography","Physical Geography","Soils & Classification","soil types distribution and classification","2026-01-05 21:03:29"
111,"Geography","Physical Geography","Climatology Basics","basic climatology including pressure and wind systems","2026-01-05 21:03:29"
112,"Geography","Physical Geography","Monsoon Mechanism","mechanism and variability of Indian monsoon","2026-01-05 21:03:29"
113,"Geography","Physical Geography","Cyclones & Storms","tropical and extra-tropical cyclones and storms","2026-01-05 21:03:29"
114,"Geography","Physical Geography","Oceanography Basics","ocean currents tides and related topics","2026-01-05 21:03:29"
115,"Geography","Physical Geography","Biogeography & Biomes","biomes and basic biogeography","2026-01-05 21:03:29"
116,"Geography","Physical Geography","Other Physical Geo","other physical geography topics","2026-01-05 21:03:29"
117,"Geography","Indian Geography","Physiographic Divisions","physiographic divisions of India","2026-01-05 21:03:29"
118,"Geography","Indian Geography","River Systems","river systems of India","2026-01-05 21:03:29"
119,"Geography","Indian Geography","Climate & Weather","climate and weather patterns of India","2026-01-05 21:03:29"
120,"Geography","Indian Geography","Soils & Crops","soil-crop relationships and patterns in India","2026-01-05 21:03:29"
121,"Geography","Indian Geography","Minerals & Resources","distribution of minerals in India","2026-01-05 21:03:29"
122,"Geography","Indian Geography","Energy Resources","distribution of energy resources in India","2026-01-05 21:03:29"
123,"Geography","Indian Geography","Agriculture Practices","agricultural practices and issues in India","2026-01-05 21:03:29"
124,"Geography","Indian Geography","Industry Location","locational factors of industries in India","2026-01-05 21:03:29"
125,"Geography","Indian Geography","Transport & Comm.","transport and communication networks in India","2026-01-05 21:03:29"
126,"Geography","Indian Geography","Disaster Prone Areas","disaster-prone areas and zones in India","2026-01-05 21:03:29"
127,"Geography","Indian Geography","Other Indian Geo","other Indian geography topics","2026-01-05 21:03:29"
128,"Geography","World Geography","Continents & Landforms","major landforms of continents","2026-01-05 21:03:29"
129,"Geography","World Geography","Climate Regions","world climate regions and classifications","2026-01-05 21:03:29"
130,"Geography","World Geography","Major Rivers & Lakes","major world rivers and lakes","2026-01-05 21:03:29"
131,"Geography","World Geography","Resources Distribution","distribution of key resources across the world","2026-01-05 21:03:29"
132,"Geography","World Geography","Regional Geography","regional geography of major world regions","2026-01-05 21:03:29"
133,"Geography","World Geography","Other World Geo","other world geography topics","2026-01-05 21:03:29"
134,"Geography","Human Geography","Population","population distribution and growth","2026-01-05 21:03:29"
135,"Geography","Human Geography","Migration","types and patterns of migration","2026-01-05 21:03:29"
136,"Geography","Human Geography","Settlements","rural and urban settlements and urbanisation","2026-01-05 21:03:29"
137,"Geography","Human Geography","Economic Activities","economic activities across primary to tertiary sectors","2026-01-05 21:03:29"
138,"Geography","Human Geography","Other Human Geo","other human and economic geography topics","2026-01-05 21:03:29"
139,"Geography","Mapping","India Locations","locations of Indian places and features on map","2026-01-05 21:03:29"
140,"Geography","Mapping","World Locations","locations of world places and features on map","2026-01-05 21:03:29"
141,"Geography","Mapping","Features in News","map-based questions on geographical features in news","2026-01-05 21:03:29"
142,"Geography","Mapping","Other Mapping","other mapping and location-based geography questions","2026-01-05 21:03:29"
143,"Polity","Constitution","Features & Sources","salient features and sources of the Constitution","2026-01-05 21:03:29"
144,"Polity","Constitution","Preamble","Preamble and its significance","2026-01-05 21:03:29"
145,"Polity","Constitution","Union & State Nature","nature of Indian federation and union-state relations","2026-01-05 21:03:29"
146,"Polity","Constitution","Fundamental Rights","Fundamental Rights and related concepts","2026-01-05 21:03:29"
147,"Polity","Constitution","DPSP","Directive Principles of State Policy","2026-01-05 21:03:29"
148,"Polity","Constitution","Fundamental Duties","Fundamental Duties","2026-01-05 21:03:29"
149,"Polity","Constitution","Amendments Process","procedure for constitutional amendments","2026-01-05 21:03:29"
150,"Polity","Constitution","Schedules","constitutional schedules and their contents","2026-01-05 21:03:29"
151,"Polity","Constitution","Emergency Provisions","emergency provisions in the Constitution","2026-01-05 21:03:29"
152,"Polity","Constitution","Other Const. Framework","other constitutional framework topics","2026-01-05 21:03:29"
153,"Polity","Union Government","President & Vice President","President and Vice President of India","2026-01-05 21:03:29"
154,"Polity","Union Government","PM & Council","Prime Minister and Council of Ministers","2026-01-05 21:03:29"
155,"Polity","Union Government","Cabinet Secretariat","cabinet system and cabinet secretariat","2026-01-05 21:03:29"
156,"Polity","Union Government","Parliament Structure","structure and composition of Parliament","2026-01-05 21:03:29"
157,"Polity","Union Government","Parliament Procedures","procedures and devices of Parliament","2026-01-05 21:03:29"
158,"Polity","Union Government","Officers","parliamentary officers like Speaker and Chairman","2026-01-05 21:03:29"
159,"Polity","Union Government","Other Union Govt","other Union government polity topics","2026-01-05 21:03:29"
160,"Polity","State Government","Governor","Governor and his powers and functions","2026-01-05 21:03:29"
161,"Polity","State Government","CM & Council","Chief Minister and Council of Ministers in states","2026-01-05 21:03:29"
162,"Polity","State Government","State Legislature","state legislature and its functioning","2026-01-05 21:03:29"
163,"Polity","State Government","Centre-State Relations","centre-state relations and federal issues","2026-01-05 21:03:29"
164,"Polity","State Government","Inter-State Councils","inter-state councils and zonal councils","2026-01-05 21:03:29"
165,"Polity","State Government","Other State Govt","other state government and federal topics","2026-01-05 21:03:29"
166,"Polity","Local Governance","Panchayati Raj","Panchayati Raj institutions and 73rd Amendment","2026-01-05 21:03:29"
167,"Polity","Local Governance","Municipalities","urban local bodies and 74th Amendment","2026-01-05 21:03:29"
168,"Polity","Local Governance","Other Local Bodies","other local bodies like cantonment boards etc.","2026-01-05 21:03:29"
169,"Polity","Local Governance","Other Local Governance","other local governance topics","2026-01-05 21:03:29"
170,"Polity","Constitutional Bodies","Election Commission","Election Commission of India and functions","2026-01-05 21:03:29"
171,"Polity","Constitutional Bodies","CAG","Comptroller and Auditor General of India","2026-01-05 21:03:29"
172,"Polity","Constitutional Bodies","UPSC & SPSC","UPSC and State Public Service Commissions","2026-01-05 21:03:29"
173,"Polity","Constitutional Bodies","Finance Commission","Finance Commission and its functions","2026-01-05 21:03:29"
174,"Polity","Constitutional Bodies","Human Rights Comm.","national and state human rights commissions","2026-01-05 21:03:29"
175,"Polity","Constitutional Bodies","Other Const. Bodies","other constitutional bodies","2026-01-05 21:03:29"
176,"Polity","Statutory Bodies","Regulators","statutory regulators like SEBI and TRAI","2026-01-05 21:03:29"
177,"Polity","Statutory Bodies","Commissions","statutory commissions for women minorities OBC etc.","2026-01-05 21:03:29"
178,"Polity","Statutory Bodies","Authorities","authorities like Lokpal CVC CIC etc.","2026-01-05 21:03:29"
179,"Polity","Statutory Bodies","Other Statutory","other statutory and regulatory bodies","2026-01-05 21:03:29"
180,"Polity","Electoral Process","Election Laws","election laws like RPA and anti-defection law","2026-01-05 21:03:29"
181,"Polity","Electoral Process","Delimitation Process","delimitation of constituencies","2026-01-05 21:03:29"
182,"Polity","Electoral Process","Party Funding","political parties funding and recognition","2026-01-05 21:03:29"
183,"Polity","Electoral Process","Other Electoral","other electoral process and law topics","2026-01-05 21:03:29"
184,"Polity","Governance","RTI & Transparency","RTI and transparency mechanisms","2026-01-05 21:03:29"
185,"Polity","Governance","e-Governance","e-governance tools and programmes","2026-01-05 21:03:29"
186,"Polity","Governance","Citizen Charters","citizen charters and grievance redressal","2026-01-05 21:03:29"
187,"Polity","Governance","Social Justice Policies","social justice policies and affirmative action","2026-01-05 21:03:29"
188,"Polity","Governance","Civil Services Reforms","civil services reforms and related issues","2026-01-05 21:03:29"
189,"Polity","Governance","Other Governance","other governance-related topics","2026-01-05 21:03:29"
190,"Economy","Macroeconomics","National Income","measures of national income like GDP and GNP","2026-01-05 21:03:29"
191,"Economy","Macroeconomics","Growth & Inflation","economic growth and inflation concepts","2026-01-05 21:03:29"
192,"Economy","Macroeconomics","Fiscal Deficit & Debt","fiscal deficit and public debt concepts","2026-01-05 21:03:29"
193,"Economy","Macroeconomics","Unemployment Types","types and measures of unemployment","2026-01-05 21:03:29"
194,"Economy","Macroeconomics","Business Cycles","business cycles and their phases","2026-01-05 21:03:29"
195,"Economy","Macroeconomics","Other Macro","other macroeconomic concepts","2026-01-05 21:03:29"
196,"Economy","Banking & Finance","RBI Functions","role and functions of RBI and its tools","2026-01-05 21:03:29"
197,"Economy","Banking & Finance","Banking Structure","structure of the banking system","2026-01-05 21:03:29"
198,"Economy","Banking & Finance","NPAs & Recap.","NPAs stressed assets and recapitalisation","2026-01-05 21:03:29"
199,"Economy","Banking & Finance","Financial Markets","money and capital market instruments","2026-01-05 21:03:29"
200,"Economy","Banking & Finance","Insurance & Pension","insurance and pension systems","2026-01-05 21:03:29"
201,"Economy","Banking & Finance","Financial Inclusion","financial inclusion and microfinance","2026-01-05 21:03:29"
202,"Economy","Banking & Finance","Other Finance","other money banking and finance topics","2026-01-05 21:03:29"
203,"Economy","Budget & Finance","Structure","budget structure receipts and expenditure","2026-01-05 21:03:29"
204,"Economy","Budget & Finance","Taxation & GST","tax structure and GST design","2026-01-05 21:03:29"
205,"Economy","Budget & Finance","FRBM Rules","fiscal discipline and FRBM rules","2026-01-05 21:03:29"
206,"Economy","Budget & Finance","Finance Commission","Finance Commission and fiscal devolution","2026-01-05 21:03:29"
207,"Economy","Budget & Finance","Other Budget","other budget and public finance topics","2026-01-05 21:03:29"
208,"Economy","External Sector","BoP & Forex","Balance of Payments and forex reserves","2026-01-05 21:03:29"
209,"Economy","External Sector","Trade Policy & FTAs","trade policy FTAs and export measures","2026-01-05 21:03:29"
210,"Economy","External Sector","Exchange Rate","exchange rate systems and rupee convertibility","2026-01-05 21:03:29"
211,"Economy","External Sector","Int. Institutions","international economic institutions like IMF and WTO","2026-01-05 21:03:29"
212,"Economy","External Sector","Other External","other external sector topics","2026-01-05 21:03:29"
213,"Economy","Economic Sectors","Agri Systems","agriculture production systems and patterns","2026-01-05 21:03:29"
214,"Economy","Economic Sectors","MSP & Procurement","MSP food procurement and buffer stocks","2026-01-05 21:03:29"
215,"Economy","Economic Sectors","Agri Credit","agricultural credit and crop insurance","2026-01-05 21:03:29"
216,"Economy","Economic Sectors","Irrigation & Subsidies","irrigation inputs and agricultural subsidies","2026-01-05 21:03:29"
217,"Economy","Economic Sectors","MSME & Industry","industrial policy and MSME sector issues","2026-01-05 21:03:29"
218,"Economy","Economic Sectors","Services Sector","services sector growth and contribution","2026-01-05 21:03:29"
219,"Economy","Economic Sectors","Infrastructure","infrastructure development in energy transport etc.","2026-01-05 21:03:29"
220,"Economy","Economic Sectors","Other Real Sector","other real sector topics","2026-01-05 21:03:29"
221,"Economy","Inclusive Growth","Poverty Measures","poverty estimation and committee reports","2026-01-05 21:03:29"
222,"Economy","Inclusive Growth","Inequality Indices","measures and indices of inequality","2026-01-05 21:03:29"
223,"Economy","Inclusive Growth","Employment Schemes","employment generation schemes like MGNREGA","2026-01-05 21:03:29"
224,"Economy","Inclusive Growth","Human Develop. Indices","human development indices and indicators","2026-01-05 21:03:29"
225,"Economy","Inclusive Growth","Other Inclusive","other inclusive growth topics","2026-01-05 21:03:29"
226,"Economy","Dev. Indicators","Global Indices","conceptual basis of major global indices","2026-01-05 21:03:29"
227,"Economy","Dev. Indicators","Govt Reports","key concepts from government reports and surveys","2026-01-05 21:03:29"
228,"Economy","Dev. Indicators","Other Dev Reports","other development indicators and reports","2026-01-05 21:03:29"
229,"Environment","Ecology","Ecological Pyramids","basic ecological principles and pyramids","2026-01-05 21:03:29"
230,"Environment","Ecology","Ecosystem Types","types of ecosystems like forests and wetlands","2026-01-05 21:03:29"
231,"Environment","Ecology","Ecosystem Services","ecosystem services and their classification","2026-01-05 21:03:29"
232,"Environment","Ecology","Other Ecology","other basic ecology topics","2026-01-05 21:03:29"
233,"Environment","Biodiversity","Hotspots","global and Indian biodiversity hotspots","2026-01-05 21:03:29"
234,"Environment","Biodiversity","Indian Flora & Fauna","flora and fauna specific to India","2026-01-05 21:03:29"
235,"Environment","Biodiversity","IUCN & CITES","IUCN red list status and CITES appendices","2026-01-05 21:03:29"
236,"Environment","Biodiversity","Invasive Species","invasive alien species and their impact","2026-01-05 21:03:29"
237,"Environment","Biodiversity","Other Biodiversity","other biodiversity topics","2026-01-05 21:03:29"
238,"Environment","Protected Areas","National Parks","national parks wildlife sanctuaries and their locations","2026-01-05 21:03:29"
239,"Environment","Protected Areas","Biosphere Reserves","biosphere reserves and their zonation","2026-01-05 21:03:29"
240,"Environment","Protected Areas","Ramsar Wetlands","Ramsar wetlands and their features","2026-01-05 21:03:29"
241,"Environment","Protected Areas","Tiger & Elephant Res.","tiger and elephant reserves and networks","2026-01-05 21:03:29"
242,"Environment","Protected Areas","Sacred Groves","community reserves and sacred groves","2026-01-05 21:03:29"
243,"Environment","Protected Areas","Other Protected Areas","other protected areas topics","2026-01-05 21:03:29"
244,"Environment","Climate Change","GHG Concepts","greenhouse gases and global warming concepts","2026-01-05 21:03:29"
245,"Environment","Climate Change","IPCC Reports","key findings from IPCC reports","2026-01-05 21:03:29"
246,"Environment","Climate Change","Adapt & Mitigate","climate change adaptation and mitigation strategies","2026-01-05 21:03:29"
247,"Environment","Climate Change","India Climate Missions","India’s National Action Plan on Climate Change","2026-01-05 21:03:29"
248,"Environment","Climate Change","Other CC","other climate change topics","2026-01-05 21:03:29"
249,"Environment","Int. Conventions","Major Protocols","UNFCCC Kyoto Protocol and Paris Agreement","2026-01-05 21:03:29"
250,"Environment","Int. Conventions","CBD & Protocols","Convention on Biological Diversity and protocols","2026-01-05 21:03:29"
251,"Environment","Int. Conventions","Other Conventions","other major international environmental conventions","2026-01-05 21:03:29"
252,"Environment","Int. Conventions","Other Intl Agreements","other international environmental agreements","2026-01-05 21:03:29"
253,"Environment","Pollution","Air Water Soil","air water and soil pollution","2026-01-05 21:03:29"
254,"Environment","Pollution","Noise Light Thermal","noise light and thermal pollution","2026-01-05 21:03:29"
255,"Environment","Pollution","Other Pollution","other pollution types and issues","2026-01-05 21:03:29"
256,"Environment","Env. Management","EIA Process","Environmental Impact Assessment process","2026-01-05 21:03:29"
257,"Environment","Env. Management","Waste Rules","waste management rules and regulations","2026-01-05 21:03:29"
258,"Environment","Env. Management","Env Concepts","concepts like carbon footprint and carrying capacity","2026-01-05 21:03:29"
259,"Environment","Env. Management","Other Env Mgmt","other environmental management topics","2026-01-05 21:03:29"
260,"Environment","Environmental Law","Indian Acts","major Indian environmental acts and laws","2026-01-05 21:03:29"
261,"Environment","Environmental Law","Authorities","environmental authorities like NGT and CPCB","2026-01-05 21:03:29"
262,"Environment","Environmental Law","Int. Organizations","international environmental organizations","2026-01-05 21:03:29"
263,"Environment","Environmental Law","Other Env Laws","other environmental laws and institutions","2026-01-05 21:03:29"
264,"Science & Tech","Basic Science","Physics","basic concepts of physics","2026-01-05 21:03:29"
265,"Science & Tech","Basic Science","Chemistry","basic concepts of chemistry","2026-01-05 21:03:29"
266,"Science & Tech","Basic Science","Biology","basic concepts of biology","2026-01-05 21:03:29"
267,"Science & Tech","Basic Science","Other Basic Science","other basic science topics","2026-01-05 21:03:29"
268,"Science & Tech","Biotechnology","Biotech Tools","tools and techniques in biotechnology","2026-01-05 21:03:29"
269,"Science & Tech","Biotechnology","Genomics","genomics and gene editing technologies","2026-01-05 21:03:29"
270,"Science & Tech","Biotechnology","Vaccines","vaccines and immunology concepts","2026-01-05 21:03:29"
271,"Science & Tech","Biotechnology","Diseases","diseases and their causative agents","2026-01-05 21:03:29"
272,"Science & Tech","Biotechnology","Other Biotech","other biotechnology and health topics","2026-01-05 21:03:29"
273,"Science & Tech","Space Science","ISRO Missions","ISRO missions and space basics","2026-01-05 21:03:29"
274,"Science & Tech","Space Science","Satellite Apps","applications of satellites and remote sensing","2026-01-05 21:03:29"
275,"Science & Tech","Space Science","Astronomy","basic concepts of astronomy and cosmology","2026-01-05 21:03:29"
276,"Science & Tech","Space Science","Other Space","other space science topics","2026-01-05 21:03:29"
277,"Science & Tech","Defence Tech","Missiles & Weapons","missiles and weapon systems","2026-01-05 21:03:29"
278,"Science & Tech","Defence Tech","Nuclear Tech","nuclear technology and applications","2026-01-05 21:03:29"
279,"Science & Tech","Defence Tech","Cyber Security","cyber security technologies and issues","2026-01-05 21:03:29"
280,"Science & Tech","Defence Tech","Other Defence","other defence technology topics","2026-01-05 21:03:29"
281,"Science & Tech","ICT","Communication Tech","communication technologies like 5G and fibre optics","2026-01-05 21:03:29"
282,"Science & Tech","ICT","Computing Concepts","modern computing concepts like cloud and quantum","2026-01-05 21:03:29"
283,"Science & Tech","ICT","AI & ML","artificial intelligence and machine learning","2026-01-05 21:03:29"
284,"Science & Tech","ICT","Blockchain & Fintech","blockchain technology and fintech applications","2026-01-05 21:03:29"
285,"Science & Tech","ICT","Other ICT","other ICT topics","2026-01-05 21:03:29"
